model,name,confidence,error_x1,error_x2
first,sapling_picked,0.802291,0.5,3.0
first,sapling_picked,0.785776,2.0,5.0
first,sapling_picked,0.781442,0.5,-1.0
first,grass_picked,0.771376,0.0,4.0
first,grass_picked,0.767784,-1.0,4.0
first,grass_picked,0.766335,1.0,0.0
first,grass_picked,0.762012,0.5,2.0
first,grass_picked,0.755167,-0.5,1.0
first,wilson,0.6419,4.0,4.0
first,tree_evergreen_3,0.417329,0.0,2.0
first,tree_evergreen_1,0.111528,3.0,80.0
first,grass,0.87974,1.5,0.0
first,grass,0.865912,0.5,0.0
first,hound,0.839293,1.0,-1.0
first,grass,0.833672,-0.5,2.0
first,wilson,0.822931,1.5,7.0
first,sapling,0.809375,1.5,3.0
first,grass,0.786825,-0.5,2.0
first,grass,0.786737,1.5,1.0
first,hound,0.657647,2.5,2.0
first,spider,0.564157,-0.5,5.0
first,spider,0.305234,-37.5,47.0
first,spider,0.104912,-14.5,7.0
first,sapling,0.865136,2.5,3.0
first,tree_evergreen_3,0.859375,2.5,-1.0
first,grass,0.858376,1.5,2.0
first,wilson,0.855821,0.5,-1.0
first,grass,0.855549,-0.5,4.0
first,grass,0.84091,2.0,4.0
first,tree_evergreen_1,0.837756,-1.0,8.0
first,sapling,0.836177,0.5,1.0
first,tree_evergreen_2,0.817835,-5.0,2.0
first,tree_evergreen_1,0.779459,-3.0,3.0
first,grass,0.87324,2.0,0.0
first,grass,0.869809,1.5,1.0
first,wilson,0.836242,0.0,3.0
first,hound,0.828831,3.0,0.0
first,grass,0.82803,-1.0,0.0
first,grass,0.825022,-2.0,1.0
first,sapling,0.796907,-1.0,4.0
first,hound,0.796433,-3.0,3.0
first,grass,0.761899,1.0,0.0
first,spider,0.691584,-4.0,2.0
first,spider,0.605383,1.0,-9.0
first,spider,0.391149,-32.0,10.0
first,tree_evergreen_3,0.866997,3.5,7.0
first,tree_evergreen_3,0.854379,0.0,0.0
first,tree_evergreen_1,0.853685,-2.0,1.0
first,tree_evergreen_1,0.815985,-3.0,5.0
first,sapling_picked,0.787804,0.5,0.0
first,wilson,0.784716,-1.5,-6.0
first,sapling_picked,0.77868,-1.5,3.0
first,grass_picked,0.756769,2.5,3.0
first,tree_evergreen_3,0.86604,-7.0,4.0
first,wilson,0.814579,-3.0,1.0
first,tree_evergreen_1,0.808703,0.0,0.0
first,tree_evergreen_1,0.802187,-2.0,0.0
first,sapling_picked,0.784632,1.0,2.0
first,tree_evergreen_3,0.764142,-0.5,-7.0
first,sapling_picked,0.749698,-0.5,5.0
first,grass_picked,0.739411,-0.5,1.0
first,wilson,0.865427,0.5,2.0
first,grass,0.86179,1.5,2.0
first,tree_evergreen_1,0.846856,0.0,1.0
first,sapling,0.842654,1.0,1.0
first,grass,0.838736,0.5,0.0
first,sapling_picked,0.79853,2.0,4.0
first,tree_evergreen_2,0.720955,3.5,4.0
first,grass,0.391009,-2.0,8.0
first,sapling,0.871415,1.5,1.0
first,grass,0.862823,1.0,2.0
first,grass,0.855162,0.5,1.0
first,grass,0.850474,1.5,3.0
first,grass,0.848558,0.5,2.0
first,tree_evergreen_3,0.835093,-3.5,-4.0
first,grass,0.822513,2.5,4.0
first,tree_evergreen_2,0.820022,-2.5,-1.0
first,wilson,0.812169,3.0,1.0
first,grass,0.624619,5.5,45.0
first,grass,0.878254,2.0,0.0
first,grass,0.86732,0.5,1.0
