seed,num_landmarks,trajectory_name,u_noise,h_noise,correct_match_count,wrong_match_count,bad_new_creation_count,new_object_match_count
727,0,spiral_1,"[1, 1]","[40.0, 50.0]",0,0,0,0
727,0,spiral_1,"[2, 2]","[2.0, 3.0]",0,0,0,0
727,0,spiral_1,"[2, 2]","[20.0, 25.0]",0,0,0,0
727,0,spiral_1,"[2, 2]","[40.0, 50.0]",0,0,0,0
727,0,spiral_2,"[0.1, 0.1]","[2.0, 3.0]",0,0,0,0
727,0,spiral_2,"[0.1, 0.1]","[20.0, 25.0]",0,0,0,0
727,0,spiral_2,"[0.1, 0.1]","[40.0, 50.0]",0,0,0,0
727,0,spiral_2,"[0.5, 0.5]","[2.0, 3.0]",0,0,0,0
727,0,spiral_2,"[0.5, 0.5]","[20.0, 25.0]",0,0,0,0
727,0,spiral_2,"[0.5, 0.5]","[40.0, 50.0]",0,0,0,0
727,0,spiral_2,"[1, 1]","[2.0, 3.0]",0,0,0,0
727,0,spiral_2,"[1, 1]","[20.0, 25.0]",0,0,0,0
727,0,spiral_2,"[1, 1]","[40.0, 50.0]",0,0,0,0
727,0,spiral_2,"[2, 2]","[2.0, 3.0]",0,0,0,0
727,0,spiral_2,"[2, 2]","[20.0, 25.0]",0,0,0,0
727,0,spiral_2,"[2, 2]","[40.0, 50.0]",0,0,0,0
727,3,square_1,"[0.1, 0.1]","[2.0, 3.0]",104,0,0,0
727,3,square_1,"[0.1, 0.1]","[20.0, 25.0]",102,0,2,0
727,3,square_1,"[0.1, 0.1]","[40.0, 50.0]",99,0,5,0
727,3,square_1,"[0.5, 0.5]","[2.0, 3.0]",100,0,0,0
727,3,square_1,"[0.5, 0.5]","[20.0, 25.0]",99,0,1,0
727,3,square_1,"[0.5, 0.5]","[40.0, 50.0]",95,0,5,0
727,3,square_1,"[1, 1]","[2.0, 3.0]",98,0,0,0
727,3,square_1,"[1, 1]","[20.0, 25.0]",97,0,1,0
727,3,square_1,"[1, 1]","[40.0, 50.0]",93,0,5,0
727,3,square_1,"[2, 2]","[2.0, 3.0]",81,0,0,0
727,3,square_1,"[2, 2]","[20.0, 25.0]",80,0,1,0
727,3,square_1,"[2, 2]","[40.0, 50.0]",78,0,3,0
727,3,square_2,"[0.1, 0.1]","[2.0, 3.0]",167,0,0,0
727,3,square_2,"[0.1, 0.1]","[20.0, 25.0]",165,0,2,0
727,3,square_2,"[0.1, 0.1]","[40.0, 50.0]",162,0,5,0
727,3,square_2,"[0.5, 0.5]","[2.0, 3.0]",168,0,0,0
727,3,square_2,"[0.5, 0.5]","[20.0, 25.0]",167,0,1,0
727,3,square_2,"[0.5, 0.5]","[40.0, 50.0]",163,0,5,0
727,3,square_2,"[1, 1]","[2.0, 3.0]",168,0,0,0
727,3,square_2,"[1, 1]","[20.0, 25.0]",167,0,1,0
727,3,square_2,"[1, 1]","[40.0, 50.0]",164,0,4,0
727,3,square_2,"[2, 2]","[2.0, 3.0]",170,0,0,0
727,3,square_2,"[2, 2]","[20.0, 25.0]",169,0,1,0
727,3,square_2,"[2, 2]","[40.0, 50.0]",165,0,5,0
727,3,spiral_1,"[0.1, 0.1]","[2.0, 3.0]",111,0,0,0
727,3,spiral_1,"[0.1, 0.1]","[20.0, 25.0]",109,0,2,0
727,3,spiral_1,"[0.1, 0.1]","[40.0, 50.0]",104,0,7,0
727,3,spiral_1,"[0.5, 0.5]","[2.0, 3.0]",113,0,0,0
727,3,spiral_1,"[0.5, 0.5]","[20.0, 25.0]",112,0,1,0
727,3,spiral_1,"[0.5, 0.5]","[40.0, 50.0]",108,0,5,0
727,3,spiral_1,"[1, 1]","[2.0, 3.0]",116,0,0,0
727,3,spiral_1,"[1, 1]","[20.0, 25.0]",113,0,3,0
727,3,spiral_1,"[1, 1]","[40.0, 50.0]",109,0,7,0
727,3,spiral_1,"[2, 2]","[2.0, 3.0]",120,0,1,0
727,3,spiral_1,"[2, 2]","[20.0, 25.0]",118,0,3,0
727,3,spiral_1,"[2, 2]","[40.0, 50.0]",114,0,7,0
727,3,spiral_2,"[0.1, 0.1]","[2.0, 3.0]",236,0,0,0
727,3,spiral_2,"[0.1, 0.1]","[20.0, 25.0]",234,0,2,0
727,3,spiral_2,"[0.1, 0.1]","[40.0, 50.0]",227,0,9,0
