handle_detected_objects_queue,handle_segmentation_queue,update_clock,update_world_model,update_player_model,slam_predict,use_received_yolo_info,use_received_segmentation_info,total
0,2513900,0,0,3006100,0,14582700,23852400,44956300
0,0,0,0,2892400,0,11963500,0,14855900
0,1505100,0,0,2008800,0,11948000,19398900,35860500
0,0,0,0,3508800,0,9531100,0,13039900
0,1215800,0,0,3094200,0,0,17041500,22839900
0,0,0,0,2997300,0,15490700,0,18488000
0,0,0,0,3507700,0,13279800,0,16787500
0,2213300,0,0,1470200,0,11278100,21213400,36175000
509200,0,0,0,2009600,0,10956900,0,14475600
0,1686700,0,1019500,1997800,0,10518800,19388900,34611700
1010400,0,0,0,3000800,0,10520400,0,14531600
0,2006100,0,0,3005200,0,0,22244600,27255900
0,0,0,0,3510000,0,25574600,0,30083500
0,1998600,0,0,2511100,0,0,18527800,23037500
0,0,0,0,3366400,1082900,18694300,0,23143600
0,1275400,0,0,2013000,0,12593600,22014600,37896600
0,0,0,0,2398300,0,0,0,2398300
0,0,0,0,3510300,0,11247100,0,15756700
0,2004100,0,0,1999800,0,8549400,22135200,34688500
0,0,0,0,2997600,0,9527700,0,13524600
0,1301300,0,0,3004800,0,10514200,20299300,35119600
0,0,0,0,3002700,0,7880100,0,10882800
0,1004100,0,0,999700,0,8532900,19698100,31239600
0,511200,0,0,2021300,0,8522200,0,11054700
0,1506400,0,0,3015800,0,13176700,18434600,36133500
0,0,0,0,2928200,0,21015300,0,23943500
0,1453200,0,0,3572000,0,10226800,21042200,36294200
0,0,0,0,3001500,0,9677400,0,12678900
0,2000400,0,0,3002200,0,0,20651600,26160000
0,505900,0,0,2015000,0,8521100,0,11042000
0,2003600,0,0,1998100,0,14033100,20798400,38833200
825900,0,0,0,2007800,0,10531000,0,13364700
0,2008700,0,0,3019200,0,8493200,20875900,34397000
0,0,0,0,3152200,0,0,0,3657300
0,3530100,0,0,2998400,0,9539300,21693500,37761300
0,0,0,0,3005200,0,8968000,0,11973200
0,2006600,0,0,2505100,0,9010700,21055500,35085800
0,0,0,0,2403900,0,7639700,0,10043600
0,0,0,0,2999100,0,9526500,0,12525600
0,2001300,0,0,3001500,0,7867300,19817100,32687200
0,0,0,0,2594700,0,9685400,0,12280100
0,1998400,0,0,2003100,0,9017000,18038600,31057100
0,0,0,0,2999200,0,0,0,2999200
0,2006400,0,0,2997400,0,22090700,21823900,48918400
0,0,0,0,2006900,0,9532800,0,11539700
0,0,0,0,2128000,0,11517200,0,13645200
0,2503100,0,0,3009500,0,10006900,28064700,43584200
0,0,0,0,2223300,0,6518900,0,8742200
0,1995600,0,0,2510200,0,8896300,18754200,32156300
0,0,0,0,3996600,0,9926400,0,13923000
0,1999500,0,0,1999900,0,0,19475100,23474500
0,0,0,0,2255300,0,8965900,0,11221200
0,2994300,0,0,3444800,0,6900900,20085800,33425800
0,0,0,0,2515200,0,12332200,0,14847400
0,2018300,0,0,1999800,0,16023100,21483400,41524600
0,506200,0,0,2008800,0,7574700,0,10089700
0,0,0,0,2398300,0,18403400,0,20801700
0,1515100,0,0,3005100,0,10509200,25862300,40891700
0,0,0,0,2912500,0,21365800,0,24278300
0,2519900,0,0,3009500,0,6296100,25899400,37724900
0,1001200,0,0,2973600,0,7030600,0,11005400
0,2334400,0,0,2019700,0,6007400,23167400,33528900
0,0,0,0,3001200,0,0,0,3001200
0,0,0,0,3000000,0,6028300,0,9028300
0,1952300,0,0,2999200,0,6527400,24118300,35597200
0,0,0,0,2212600,0,6524800,0,8737400
0,2007200,0,0,2998100,0,7518100,26464400,38987800
0,0,0,1000300,2532600,997500,5558200,0,10088600
0,1999400,0,0,1509100,0,6017300,24529300,34055100
0,0,0,0,2997500,0,0,0,2997500
0,0,0,0,3505500,0,7011200,0,10516700
0,2347000,0,0,2054700,0,6009300,22704800,33621000
0,0,0,0,2001000,0,6511300,0,8512300
0,1001200,0,999100,1999100,504100,5009700,22889100,32402300
0,0,0,0,3003700,0,6512300,0,9516000
0,1508200,0,0,2010700,0,5514600,34079300,43112800
0,0,0,0,3318100,0,7535500,0,10853600
0,1996300,0,0,3001000,0,6527500,20928600,32453400
0,0,0,0,3128900,0,5524300,0,8653200
0,3018500,0,0,3986300,0,0,22053900,29058700
0,0,0,0,2171400,0,4998200,0,7169600
0,2001500,0,0,2522400,0,9404200,21556900,35485000
0,0,0,0,2262200,0,6517500,0,8779700
0,2348100,0,0,2517600,1011400,6992600,25118700,37988400
0,0,0,0,3272400,0,6524800,0,9797200
0,0,0,0,2278100,999900,5521200,0,9799700
0,2007000,0,0,3503700,0,7014400,22980300,35505400
11331300,1991900,0,0,2509800,0,5520200,25124100,46477300
0,1504400,0,0,3009600,0,6000100,22256400,33855600
0,0,0,0,2537200,0,8518800,0,11056000
506800,2023000,0,0,3006200,0,8034400,19215600,33785700
0,0,0,0,3715300,0,0,0,3715300
0,1997900,0,0,2284600,0,5515100,23053300,32850900
0,0,0,0,2999600,0,6765800,0,9765400
0,1998400,0,0,3000800,0,5519700,17808200,28327100
0,0,0,0,3003400,0,5814400,0,8817800
0,1085400,0,0,3141100,0,5517100,22589900,32333500
0,0,0,0,2915300,0,6930500,0,9845800
0,1942200,0,0,2004700,0,7517700,23472900,34937500
0,0,0,0,2518200,0,4397100,0,7921300
0,2007000,0,0,2509900,0,6009400,24543500,35069800
0,0,0,0,4001200,0,6021600,0,10022800
0,0,0,0,2272400,0,5510100,0,7782500
0,2369900,0,0,1999700,0,6513600,23270000,34153200
0,0,0,0,4000300,0,5514800,0,9515100
0,2005300,0,0,3999900,0,6954600,22732100,35691900
0,2007500,0,0,2998600,0,7905800,22619700,35531600
0,0,0,0,3523600,0,7511900,0,11035500
0,1511400,0,0,3018800,0,4014500,20671700,29216400
0,0,0,0,2591300,0,6388400,0,8979700
0,1002900,0,0,3530100,0,7039400,22844300,34416700
0,0,0,0,2632700,0,5514200,0,8146900
0,2003200,0,0,2997200,0,6243600,19502300,30746300
0,0,0,0,2514400,0,5043100,0,7557500
0,2005300,0,0,2490200,0,5439300,21383700,31318500
0,0,0,0,2551400,0,7006400,0,9557800
0,0,0,0,3003800,0,5520900,0,8524700
0,2000400,0,0,3000400,0,7519100,26554900,39074800
